data_type,study_name_common,study_name_rare,trait_common,trait_rare
protein,UKB-PPP-european-CA14:Q9ULX7:OID21401:v1,ukb-wes-az-00014204,UKB-PPP european CA14,CA14 Q9ULX7 OID21401 v1 Oncology
protein,UKB-PPP-european-ECM1:Q16610:OID30736:v1,ukb-wes-az-00014823,UKB-PPP european ECM1,ECM1 Q16610 OID30736 v1 InflammationII
protein,UKB-PPP-european-ADAMTSL4:Q6UY14:OID30275:v1,ukb-wes-az-00014363,UKB-PPP european ADAMTSL4,ADAMTSL4 Q6UY14 OID30275 v1 CardiometabolicII
protein,UKB-PPP-european-ENSA:O43768:OID31355:v1,ukb-wes-az-00014883,UKB-PPP european ENSA,ENSA O43768 OID31355 v1 OncologyII
protein,UKB-PPP-european-CTSS:P25774:OID21056:v1,ukb-wes-az-00014655,UKB-PPP european CTSS,CTSS P25774 OID21056 v1 Neurology
protein,UKB-PPP-european-ARNT:P27540:OID20432:v1,ukb-wes-az-00012944,UKB-PPP european ARNT,ARNT P27540 OID20432 v1 Inflammation
protein,UKB-PPP-european-MINDY1:Q8N5J2:OID31399:v1,ukb-wes-az-00012827,UKB-PPP european MINDY1,MINDY1 Q8N5J2 OID31399 v1 OncologyII
protein,UKB-PPP-european-MENT:Q9BUN1:OID30595:v1,,UKB-PPP european C1orf56,
protein,UKB-PPP-european-SEMA6C:Q9H3T2:OID30531:v1,ukb-wes-az-00013570,UKB-PPP european SEMA6C,SEMA6C Q9H3T2 OID30531 v1 InflammationII
protein,UKB-PPP-european-TNFAIP8L2:Q6P589:OID30629:v1,ukb-wes-az-00013934,UKB-PPP european TNFAIP8L2,TNFAIP8L2 Q6P589 OID30629 v1 InflammationII
protein,UKB-PPP-european-TMOD4:Q9NZQ9:OID31246:v1,ukb-wes-az-00013920,UKB-PPP european TMOD4,TMOD4 Q9NZQ9 OID31246 v1 OncologyII
protein,UKB-PPP-european-CGN:Q9P2M7:OID30894:v1,ukb-wes-az-00014453,UKB-PPP european CGN,CGN Q9P2M7 OID30894 v1 NeurologyII
protein,UKB-PPP-european-TDRKH:Q9Y2W6:OID20875:v1,ukb-wes-az-00013851,UKB-PPP european TDRKH,TDRKH Q9Y2W6 OID20875 v1 Neurology
protein,UKB-PPP-european-S100A11:P31949:OID20130:v1,ukb-wes-az-00013498,UKB-PPP european S100A11,S100A11 P31949 OID20130 v1 Cardiometabolic
protein,UKB-PPP-european-CRNN:Q9UBG3:OID21427:v1,ukb-wes-az-00014602,UKB-PPP european CRNN,CRNN Q9UBG3 OID21427 v1 Oncology
protein,UKB-PPP-european-SPRR3:Q9UBC9:OID31131:v1,ukb-wes-az-00013751,UKB-PPP european SPRR3,SPRR3 Q9UBC9 OID31131 v1 NeurologyII
protein,UKB-PPP-european-SPRR1B:P22528:OID31296:v1,ukb-wes-az-00013750,UKB-PPP european SPRR1B,SPRR1B P22528 OID31296 v1 OncologyII
protein,UKB-PPP-european-LELP1:Q5T871:OID30845:v1,ukb-wes-az-00012653,UKB-PPP european LELP1,LELP1 Q5T871 OID30845 v1 NeurologyII
protein,UKB-PPP-european-PGLYRP4:Q96LB8:OID30101:v1,ukb-wes-az-00013175,UKB-PPP european PGLYRP4,PGLYRP4 Q96LB8 OID30101 v1 CardiometabolicII
protein,UKB-PPP-european-S100A12:P80511:OID21374:v1,ukb-wes-az-00013499,UKB-PPP european S100A12,S100A12 P80511 OID21374 v1 Oncology
protein,UKB-PPP-european-S100A4:P26447:OID21519:v1,ukb-wes-az-00013505,UKB-PPP european S100A4,S100A4 P26447 OID21519 v1 Oncology
protein,UKB-PPP-european-S100A3:P33764:OID31352:v1,ukb-wes-az-00013504,UKB-PPP european S100A3,S100A3 P33764 OID31352 v1 OncologyII
protein,UKB-PPP-european-S100A16:Q96FQ6:OID20878:v1,ukb-wes-az-00013503,UKB-PPP european S100A16,S100A16 Q96FQ6 OID20878 v1 Neurology
protein,UKB-PPP-european-S100A14:Q9HCY8:OID30987:v1,ukb-wes-az-00013502,UKB-PPP european S100A14,S100A14 Q9HCY8 OID30987 v1 NeurologyII
protein,UKB-PPP-european-S100A13:Q99584:OID30529:v1,ukb-wes-az-00013501,UKB-PPP european S100A13,S100A13 Q99584 OID30529 v1 InflammationII
protein,UKB-PPP-european-SNAPIN:O95295:OID31019:v1,ukb-wes-az-00013702,UKB-PPP european SNAPIN,SNAPIN O95295 OID31019 v1 NeurologyII
protein,UKB-PPP-european-NPR1:P16066:OID30116:v1,ukb-wes-az-00013013,UKB-PPP european NPR1,NPR1 P16066 OID30116 v1 CardiometabolicII
protein,UKB-PPP-european-TPM3:P06753:OID30058:v1,ukb-wes-az-00013984,UKB-PPP european TPM3,TPM3 P06753 OID30058 v1 CardiometabolicII
protein,UKB-PPP-european-IL6R:P08887:OID20385:v1,ukb-wes-az-00012485,UKB-PPP european IL6R,IL6R P08887 OID20385 v1 Cardiometabolic
protein,UKB-PPP-european-PMVK:Q15126:OID20850:v1,ukb-wes-az-00013231,UKB-PPP european PMVK,PMVK Q15126 OID20850 v1 Neurology
protein,UKB-PPP-european-PBXIP1:Q96AQ6:OID31435:v1,ukb-wes-az-00013111,UKB-PPP european PBXIP1,PBXIP1 Q96AQ6 OID31435 v1 OncologyII
protein,UKB-PPP-european-SHC1:P29353:OID31222:v1,ukb-wes-az-00013624,UKB-PPP european SHC1,SHC1 P29353 OID31222 v1 OncologyII
protein,UKB-PPP-european-ADAM15:Q13444:OID20109:v1,ukb-wes-az-00014230,UKB-PPP european ADAM15,ADAM15 Q13444 OID20109 v1 Cardiometabolic
protein,UKB-PPP-european-EFNA4:P52798:OID20935:v1,ukb-wes-az-00014840,UKB-PPP european EFNA4,EFNA4 P52798 OID20935 v1 Neurology
protein,UKB-PPP-european-EFNA1:P20827:OID21125:v1,ukb-wes-az-00014839,UKB-PPP european EFNA1,EFNA1 P20827 OID21125 v1 Neurology
protein,UKB-PPP-european-GBA:P04062:OID30966:v1,ukb-wes-az-00012154,UKB-PPP european GBA,GBA P04062 OID30966 v1 NeurologyII
protein,UKB-PPP-european-SCAMP3:O14828:OID21332:v1,ukb-wes-az-00013520,UKB-PPP european SCAMP3,SCAMP3 O14828 OID21332 v1 Oncology
protein,UKB-PPP-european-PKLR:P30613:OID20682:v1,ukb-wes-az-00013198,UKB-PPP european PKLR,PKLR P30613 OID20682 v1 Inflammation
protein,UKB-PPP-european-BGLAP:P02818:OID30389:v1,ukb-wes-az-00013769,UKB-PPP european BGLAP,BGLAP P02818 OID30389 v1 CardiometabolicII
protein,UKB-PPP-european-BCAN:Q96GW7:OID20998:v1,ukb-wes-az-00013614,UKB-PPP european BCAN,BCAN Q96GW7 OID20998 v1 Neurology
protein,UKB-PPP-european-MRPL24:Q96A35:OID30178:v1,ukb-wes-az-00012863,UKB-PPP european MRPL24,MRPL24 Q96A35 OID30178 v1 CardiometabolicII
protein,UKB-PPP-european-HDGF:P51858:OID21455:v1,ukb-wes-az-00012299,UKB-PPP european HDGF,HDGF P51858 OID21455 v1 Oncology
protein,UKB-PPP-european-PEAR1:Q5VY43:OID20257:v1,ukb-wes-az-00013157,UKB-PPP european PEAR1,PEAR1 Q5VY43 OID20257 v1 Cardiometabolic
protein,UKB-PPP-european-FCRL5:Q96RD9:OID21111:v1,ukb-wes-az-00012041,UKB-PPP european FCRL5,FCRL5 Q96RD9 OID21111 v1 Neurology
protein,UKB-PPP-european-FCRL3:Q96P31:OID20443:v1,ukb-wes-az-00012040,UKB-PPP european FCRL3,FCRL3 Q96P31 OID20443 v1 Inflammation
protein,UKB-PPP-european-FCRL2:Q96LA5:OID20639:v1,ukb-wes-az-00012039,UKB-PPP european FCRL2,FCRL2 Q96LA5 OID20639 v1 Inflammation
protein,UKB-PPP-european-FCRL1:Q96LA6:OID20172:v1,ukb-wes-az-00012038,UKB-PPP european FCRL1,FCRL1 Q96LA6 OID20172 v1 Cardiometabolic
protein,UKB-PPP-european-CD5L:O43866:OID30775:v1,ukb-wes-az-00014349,UKB-PPP european CD5L,CD5L O43866 OID30775 v1 InflammationII
protein,UKB-PPP-european-KIRREL1:Q96J84:OID30806:v1,ukb-wes-az-00012581,UKB-PPP european KIRREL1,KIRREL1 Q96J84 OID30806 v1 NeurologyII
protein,UKB-PPP-european-CD1C:P29017:OID21483:v1,ukb-wes-az-00014309,UKB-PPP european CD1C,CD1C P29017 OID21483 v1 Oncology
protein,UKB-PPP-european-MNDA:P41218:OID20156:v1,ukb-wes-az-00012848,UKB-PPP european MNDA,MNDA P41218 OID20156 v1 Cardiometabolic
protein,UKB-PPP-european-FCER1A:P12319:OID30992:v1,ukb-wes-az-00012030,UKB-PPP european FCER1A,FCER1A P12319 OID30992 v1 NeurologyII
protein,UKB-PPP-european-APCS:P02743:OID30778:v1,ukb-wes-az-00012519,UKB-PPP european APCS,APCS P02743 OID30778 v1 InflammationII
protein,UKB-PPP-european-FCRL6:Q6DN72:OID20529:v1,ukb-wes-az-00012042,UKB-PPP european FCRL6,FCRL6 Q6DN72 OID20529 v1 Inflammation
protein,UKB-PPP-european-SLAMF8:Q9P0V8:OID21214:v1,ukb-wes-az-00013656,UKB-PPP european SLAMF8,SLAMF8 Q9P0V8 OID21214 v1 Oncology
protein,UKB-PPP-european-IGSF9:Q9P2J2:OID30330:v1,ukb-wes-az-00012413,UKB-PPP european IGSF9,IGSF9 Q9P2J2 OID30330 v1 CardiometabolicII
protein,UKB-PPP-european-IGSF8:Q969P0:OID20167:v1,ukb-wes-az-00012412,UKB-PPP european IGSF8,IGSF8 Q969P0 OID20167 v1 Cardiometabolic
protein,UKB-PPP-european-SLAMF6:Q96DU3:OID21254:v1,ukb-wes-az-00013654,UKB-PPP european SLAMF6,SLAMF6 Q96DU3 OID21254 v1 Oncology
protein,UKB-PPP-european-CD84:Q9UIB8:OID20607:v1,ukb-wes-az-00014362,UKB-PPP european CD84,CD84 Q9UIB8 OID20607 v1 Inflammation
protein,UKB-PPP-european-SLAMF1:Q13291:OID20496:v1,ukb-wes-az-00013653,UKB-PPP european SLAMF1,SLAMF1 Q13291 OID20496 v1 Inflammation
protein,UKB-PPP-european-CD48:P09326:OID20692:v1,ukb-wes-az-00014344,UKB-PPP european CD48,CD48 P09326 OID20692 v1 Inflammation
protein,UKB-PPP-european-SLAMF7:Q9NQ25:OID20602:v1,ukb-wes-az-00013655,UKB-PPP european SLAMF7,SLAMF7 Q9NQ25 OID20602 v1 Inflammation
protein,UKB-PPP-european-LY9:Q9HBG7:OID20670:v1,ukb-wes-az-00012732,UKB-PPP european LY9,LY9 Q9HBG7 OID20670 v1 Inflammation
protein,UKB-PPP-european-CD244:Q9BZW8:OID20628:v1,ukb-wes-az-00014317,UKB-PPP european CD244,CD244 Q9BZW8 OID20628 v1 Inflammation
protein,UKB-PPP-european-F11R:Q9Y624:OID21151:v1,ukb-wes-az-00014934,UKB-PPP european F11R,F11R Q9Y624 OID21151 v1 Neurology
protein,UKB-PPP-european-ARHGAP30:Q7Z6I6:OID31336:v1,ukb-wes-az-00012811,UKB-PPP european ARHGAP30,ARHGAP30 Q7Z6I6 OID31336 v1 OncologyII
protein,UKB-PPP-european-NECTIN4:Q96NY8:OID21490:v1,ukb-wes-az-00012952,UKB-PPP european NECTIN4,NECTIN4 Q96NY8 OID21490 v1 Oncology
protein,UKB-PPP-european-PFDN2:Q9UHV9:OID20892:v1,ukb-wes-az-00013165,UKB-PPP european PFDN2,PFDN2 Q9UHV9 OID20892 v1 Neurology
protein,UKB-PPP-european-NIT1:Q86X76:OID30252:v1,ukb-wes-az-00012984,UKB-PPP european NIT1,NIT1 Q86X76 OID30252 v1 CardiometabolicII
protein,UKB-PPP-european-ADAMTS4:O75173:OID30471:v1,ukb-wes-az-00014330,UKB-PPP european ADAMTS4,ADAMTS4 O75173 OID30471 v1 InflammationII
protein,UKB-PPP-european-APOA2:P02652:OID30686:v1,ukb-wes-az-00012563,UKB-PPP european APOA2,APOA2 P02652 OID30686 v1 InflammationII
protein,UKB-PPP-european-FCGR2A:P12318:OID20391:v1,ukb-wes-az-00012032,UKB-PPP european FCGR2A,FCGR2A P12318 OID20391 v1 Cardiometabolic
protein,UKB-PPP-european-FCGR3B:O75015:OID20387:v1,ukb-wes-az-00012034,UKB-PPP european FCGR3B,FCGR3B O75015 OID20387 v1 Cardiometabolic
protein,UKB-PPP-european-FCGR2B:P31994:OID21215:v1,ukb-wes-az-00012033,UKB-PPP european FCGR2B,FCGR2B P31994 OID21215 v1 Oncology
protein,UKB-PPP-european-FCRLB:Q6BAA4:OID21193:v1,ukb-wes-az-00012043,UKB-PPP european FCRLB,FCRLB Q6BAA4 OID21193 v1 Oncology
protein,UKB-PPP-european-GPA33:Q99795:OID21376:v1,ukb-wes-az-00012238,UKB-PPP european GPA33,GPA33 Q99795 OID21376 v1 Oncology
protein,UKB-PPP-european-CREG1:O75629:OID21515:v1,ukb-wes-az-00014589,UKB-PPP european CREG1,CREG1 O75629 OID21515 v1 Oncology
protein,UKB-PPP-european-XCL1:P47992:OID21398:v1,ukb-wes-az-00014135,UKB-PPP european XCL1,XCL1 P47992 OID21398 v1 Oncology
protein,UKB-PPP-european-DPT:Q07507:OID20278:v1,ukb-wes-az-00014791,UKB-PPP european DPT,DPT Q07507 OID20278 v1 Cardiometabolic
protein,UKB-PPP-european-ATP1B1:P05026:OID30124:v1,ukb-wes-az-00013167,UKB-PPP european ATP1B1,ATP1B1 P05026 OID30124 v1 CardiometabolicII
protein,UKB-PPP-european-SELP:P16109:OID20379:v1,ukb-wes-az-00013563,UKB-PPP european SELP,SELP P16109 OID20379 v1 Cardiometabolic
protein,UKB-PPP-european-SELL:P14151:OID30752:v1,ukb-wes-az-00013562,UKB-PPP european SELL,SELL P14151 OID30752 v1 InflammationII
protein,UKB-PPP-european-SELE:P16581:OID20290:v1,ukb-wes-az-00013560,UKB-PPP european SELE,SELE P16581 OID20290 v1 Cardiometabolic
protein,UKB-PPP-european-MYOC:Q99972:OID21121:v1,ukb-wes-az-00012909,UKB-PPP european MYOC,MYOC Q99972 OID21121 v1 Neurology
protein,UKB-PPP-european-DNM3:Q9UQ16:OID31000:v1,ukb-wes-az-00014775,UKB-PPP european DNM3,DNM3 Q9UQ16 OID31000 v1 NeurologyII
protein,UKB-PPP-european-FASLG:P48023:OID20665:v1,ukb-wes-az-00012023,UKB-PPP european FASLG,FASLG P48023 OID20665 v1 Inflammation
protein,UKB-PPP-european-PRDX6:P30041:OID21404:v1,ukb-wes-az-00013284,UKB-PPP european PRDX6,PRDX6 P30041 OID21404 v1 Oncology
protein,UKB-PPP-european-SERPINC1:P01008:OID30789:v1,ukb-wes-az-00013593,UKB-PPP european SERPINC1,SERPINC1 P01008 OID30789 v1 InflammationII
protein,UKB-PPP-european-RABGAP1L:Q5R372:OID20447:v1,ukb-wes-az-00013392,UKB-PPP european RABGAP1L,RABGAP1L Q5R372 OID20447 v1 Inflammation
protein,UKB-PPP-european-CACYBP:Q9HB71:OID30649:v1,ukb-wes-az-00014220,UKB-PPP european CACYBP,CACYBP Q9HB71 OID30649 v1 InflammationII
protein,UKB-PPP-european-TNN:Q9UQP3:OID30412:v1,ukb-wes-az-00013964,UKB-PPP european TNN,TNN Q9UQP3 OID30412 v1 CardiometabolicII
protein,UKB-PPP-european-TNR:Q92752:OID20957:v1,ukb-wes-az-00013967,UKB-PPP european TNR,TNR Q92752 OID20957 v1 Neurology
protein,UKB-PPP-european-ANGPTL1:O95841:OID20211:v1,ukb-wes-az-00012235,UKB-PPP european ANGPTL1,ANGPTL1 O95841 OID20211 v1 Cardiometabolic
protein,UKB-PPP-european-NPHS2:Q9NP85:OID30462:v1,ukb-wes-az-00013007,UKB-PPP european NPHS2,NPHS2 Q9NP85 OID30462 v1 InflammationII
protein,UKB-PPP-european-TOR1AIP1:Q5JTV8:OID30195:v1,ukb-wes-az-00013974,UKB-PPP european TOR1AIP1,TOR1AIP1 Q5JTV8 OID30195 v1 CardiometabolicII
protein,UKB-PPP-european-CEP350:Q5VT06:OID31247:v1,ukb-wes-az-00014431,UKB-PPP european CEP350,CEP350 Q5VT06 OID31247 v1 OncologyII
protein,UKB-PPP-european-QSOX1:O00391:OID30729:v1,ukb-wes-az-00013376,UKB-PPP european QSOX1,QSOX1 O00391 OID30729 v1 InflammationII
protein,UKB-PPP-european-STX6:O43752:OID21219:v1,ukb-wes-az-00013792,UKB-PPP european STX6,STX6 O43752 OID21219 v1 Oncology
protein,UKB-PPP-european-RGS8:P57771:OID20454:v1,ukb-wes-az-00013447,UKB-PPP european RGS8,RGS8 P57771 OID20454 v1 Inflammation
protein,UKB-PPP-european-NPL:Q9BXD5:OID30329:v1,ukb-wes-az-00013008,UKB-PPP european NPL,NPL Q9BXD5 OID30329 v1 CardiometabolicII
protein,UKB-PPP-european-NCF2:P19878:OID20567:v1,ukb-wes-az-00012936,UKB-PPP european NCF2,NCF2 P19878 OID20567 v1 Inflammation
protein,UKB-PPP-european-TPR:P12270:OID30143:v1,ukb-wes-az-00013989,UKB-PPP european TPR,TPR P12270 OID30143 v1 CardiometabolicII
protein,UKB-PPP-european-PLA2G4A:P47712:OID20685:v1,ukb-wes-az-00013205,UKB-PPP european PLA2G4A,PLA2G4A P47712 OID20685 v1 Inflammation
protein,UKB-PPP-european-CFH:P08603:OID30790:v1,ukb-wes-az-00014444,UKB-PPP european CFH,CFH P08603 OID30790 v1 InflammationII
protein,UKB-PPP-european-CFHR4:Q92496:OID30758:v1,ukb-wes-az-00014446,UKB-PPP european CFHR4,CFHR4 Q92496 OID30758 v1 InflammationII
protein,UKB-PPP-european-CFHR2:P36980:OID30720:v1,ukb-wes-az-00014445,UKB-PPP european CFHR2,CFHR2 P36980 OID30720 v1 InflammationII
protein,UKB-PPP-european-CFHR5:Q9BXR6:OID30716:v1,ukb-wes-az-00014447,UKB-PPP european CFHR5,CFHR5 Q9BXR6 OID30716 v1 InflammationII
protein,UKB-PPP-european-F13B:P05160:OID30781:v1,ukb-wes-az-00014936,UKB-PPP european F13B,F13B P05160 OID30781 v1 InflammationII
protein,UKB-PPP-european-NEK7:Q8TDX7:OID31250:v1,ukb-wes-az-00012957,UKB-PPP european NEK7,NEK7 Q8TDX7 OID31250 v1 OncologyII
protein,UKB-PPP-european-PTPRC:P08575:OID30380:v1,ukb-wes-az-00013351,UKB-PPP european PTPRC,PTPRC P08575 OID30380 v1 CardiometabolicII
protein,UKB-PPP-european-LMOD1:P29536:OID30212:v1,ukb-wes-az-00012684,UKB-PPP european LMOD1,LMOD1 P29536 OID30212 v1 CardiometabolicII
protein,UKB-PPP-european-LMOD1:P29536:OID30547:v1,ukb-wes-az-00012685,UKB-PPP european LMOD1,LMOD1 P29536 OID30547 v1 InflammationII
protein,UKB-PPP-european-LMOD1:P29536:OID31014:v1,ukb-wes-az-00012686,UKB-PPP european LMOD1,LMOD1 P29536 OID31014 v1 NeurologyII
protein,UKB-PPP-european-LMOD1:P29536:OID31416:v1,ukb-wes-az-00012687,UKB-PPP european LMOD1,LMOD1 P29536 OID31416 v1 OncologyII
protein,UKB-PPP-european-PPP1R12B:O60237:OID31304:v1,ukb-wes-az-00013264,UKB-PPP european PPP1R12B,PPP1R12B O60237 OID31304 v1 OncologyII
protein,UKB-PPP-european-CHI3L1:P36222:OID20399:v1,ukb-wes-az-00014462,UKB-PPP european CHI3L1,CHI3L1 P36222 OID20399 v1 Cardiometabolic
protein,UKB-PPP-european-CHIT1:Q13231:OID20312:v1,ukb-wes-az-00014464,UKB-PPP european CHIT1,CHIT1 Q13231 OID20312 v1 Cardiometabolic
protein,UKB-PPP-european-PRELP:P51888:OID20766:v1,ukb-wes-az-00013286,UKB-PPP european PRELP,PRELP P51888 OID20766 v1 Inflammation
protein,UKB-PPP-european-OPTC:Q9UBM4:OID21362:v1,ukb-wes-az-00013071,UKB-PPP european OPTC,OPTC Q9UBM4 OID21362 v1 Oncology
protein,UKB-PPP-european-ATP2B4:P23634:OID30062:v1,ukb-wes-az-00013211,UKB-PPP european ATP2B4,ATP2B4 P23634 OID30062 v1 CardiometabolicII
protein,UKB-PPP-european-REN:P00797:OID20201:v1,ukb-wes-az-00013434,UKB-PPP european REN,REN P00797 OID20201 v1 Cardiometabolic
protein,UKB-PPP-european-NFASC:O94856:OID20634:v1,ukb-wes-az-00012963,UKB-PPP european NFASC,NFASC O94856 OID20634 v1 Inflammation
protein,UKB-PPP-european-CNTN2:Q02246:OID21426:v1,ukb-wes-az-00014531,UKB-PPP european CNTN2,CNTN2 Q02246 OID21426 v1 Oncology
protein,UKB-PPP-european-PM20D1:Q6GTS8:OID20149:v1,ukb-wes-az-00013227,UKB-PPP european PM20D1,PM20D1 Q6GTS8 OID20149 v1 Cardiometabolic
protein,UKB-PPP-european-CTSE:P14091:OID30628:v1,ukb-wes-az-00014649,UKB-PPP european CTSE,CTSE P14091 OID30628 v1 InflammationII
protein,UKB-PPP-european-MAPKAPK2:P49137:OID31293:v1,ukb-wes-az-00012771,UKB-PPP european MAPKAPK2,MAPKAPK2 P49137 OID31293 v1 OncologyII
protein,UKB-PPP-european-IL10:P22301:OID20431:v1,ukb-wes-az-00012417,UKB-PPP european IL10,IL10 P22301 OID20431 v1 Inflammation
protein,UKB-PPP-european-IL19:Q9UHD0:OID20158:v1,ukb-wes-az-00012443,UKB-PPP european IL19,IL19 Q9UHD0 OID20158 v1 Cardiometabolic
protein,UKB-PPP-european-IL20:Q9NYY1:OID20453:v1,ukb-wes-az-00012454,UKB-PPP european IL20,IL20 Q9NYY1 OID20453 v1 Inflammation
protein,UKB-PPP-european-IL24:Q13007:OID20440:v1,ukb-wes-az-00012462,UKB-PPP european IL24,IL24 Q13007 OID20440 v1 Inflammation
protein,UKB-PPP-european-PIGR:P01833:OID21102:v1,ukb-wes-az-00013187,UKB-PPP european PIGR,PIGR P01833 OID21102 v1 Neurology
protein,UKB-PPP-european-FCAMR:Q8WWV6:OID30332:v1,ukb-wes-az-00012028,UKB-PPP european FCAMR,FCAMR Q8WWV6 OID30332 v1 CardiometabolicII
protein,UKB-PPP-european-SARG:Q9BW04:OID30331:v1,,UKB-PPP european C1orf116,
protein,UKB-PPP-european-PFKFB2:O60825:OID21356:v1,ukb-wes-az-00013169,UKB-PPP european PFKFB2,PFKFB2 O60825 OID21356 v1 Oncology
protein,UKB-PPP-european-YOD1:Q5VVQ6:OID30181:v1,ukb-wes-az-00014146,UKB-PPP european YOD1,YOD1 Q5VVQ6 OID30181 v1 CardiometabolicII
protein,UKB-PPP-european-C4BPB:P20851:OID21481:v1,ukb-wes-az-00014192,UKB-PPP european C4BPB,C4BPB P20851 OID21481 v1 Oncology
protein,UKB-PPP-european-CD55:P08174:OID20377:v1,ukb-wes-az-00014346,UKB-PPP european CD55,CD55 P08174 OID20377 v1 Cardiometabolic
protein,UKB-PPP-european-CR2:P20023:OID20393:v1,ukb-wes-az-00014583,UKB-PPP european CR2,CR2 P20023 OID20393 v1 Cardiometabolic
protein,UKB-PPP-european-CR1:P17927:OID30697:v1,ukb-wes-az-00014582,UKB-PPP european CR1,CR1 P17927 OID30697 v1 InflammationII
protein,UKB-PPP-european-CD46:P15529:OID20380:v1,ukb-wes-az-00014343,UKB-PPP european CD46,CD46 P15529 OID20380 v1 Cardiometabolic
protein,UKB-PPP-european-CD34:P28906:OID21025:v1,ukb-wes-az-00014333,UKB-PPP european CD34,CD34 P28906 OID21025 v1 Neurology
protein,UKB-PPP-european-HSD11B1:P28845:OID20575:v1,ukb-wes-az-00012344,UKB-PPP european HSD11B1,HSD11B1 P28845 OID20575 v1 Inflammation
protein,UKB-PPP-european-PPP2R5A:Q15172:OID31502:v1,ukb-wes-az-00013270,UKB-PPP european PPP2R5A,PPP2R5A Q15172 OID31502 v1 OncologyII
protein,UKB-PPP-european-NENF:Q9UMX5:OID31354:v1,ukb-wes-az-00012960,UKB-PPP european NENF,NENF Q9UMX5 OID31354 v1 OncologyII
protein,UKB-PPP-european-CENPF:P49454:OID31329:v1,ukb-wes-az-00014422,UKB-PPP european CENPF,CENPF P49454 OID31329 v1 OncologyII
protein,UKB-PPP-european-RRP15:Q9Y3B9:OID30867:v1,ukb-wes-az-00013487,UKB-PPP european RRP15,RRP15 Q9Y3B9 OID30867 v1 NeurologyII
protein,UKB-PPP-european-TGFB2:P61812:OID31417:v1,ukb-wes-az-00013871,UKB-PPP european TGFB2,TGFB2 P61812 OID31417 v1 OncologyII
protein,UKB-PPP-european-AIDA:Q96BJ3:OID30956:v1,ukb-wes-az-00014755,UKB-PPP european AIDA,AIDA Q96BJ3 OID30956 v1 NeurologyII
protein,UKB-PPP-european-SUSD4:Q5VX71:OID31398:v1,ukb-wes-az-00013808,UKB-PPP european SUSD4,SUSD4 Q5VX71 OID31398 v1 OncologyII
protein,UKB-PPP-european-LBR:Q14739:OID21034:v1,ukb-wes-az-00012642,UKB-PPP european LBR,LBR Q14739 OID21034 v1 Neurology
protein,UKB-PPP-european-ENAH:Q8N8S7:OID20497:v1,ukb-wes-az-00014869,UKB-PPP european ENAH,ENAH Q8N8S7 OID20497 v1 Inflammation
protein,UKB-PPP-european-LEFTY2:O00292:OID21454:v1,ukb-wes-az-00012650,UKB-PPP european LEFTY2,LEFTY2 O00292 OID21454 v1 Oncology
protein,UKB-PPP-european-PARP1:P09874:OID20500:v1,ukb-wes-az-00013106,UKB-PPP european PARP1,PARP1 P09874 OID20500 v1 Inflammation
protein,UKB-PPP-european-WNT9A:O14904:OID20460:v1,ukb-wes-az-00014133,UKB-PPP european WNT9A,WNT9A O14904 OID20460 v1 Inflammation
protein,UKB-PPP-european-GUK1:Q16774:OID30148:v1,ukb-wes-az-00012276,UKB-PPP european GUK1,GUK1 Q16774 OID30148 v1 CardiometabolicII
protein,UKB-PPP-european-BTNL10:A8MVZ5:OID31196:v1,ukb-wes-az-00014172,UKB-PPP european BTNL10,BTNL10 A8MVZ5 OID31196 v1 OncologyII
protein,UKB-PPP-european-GALNT2:Q10471:OID21423:v1,ukb-wes-az-00012140,UKB-PPP european GALNT2,GALNT2 Q10471 OID21423 v1 Oncology
protein,UKB-PPP-european-AGT:P01019:OID30709:v1,ukb-wes-az-00014663,UKB-PPP european AGT,AGT P01019 OID30709 v1 InflammationII
protein,UKB-PPP-european-EGLN1:Q9GZT9:OID20572:v1,ukb-wes-az-00014848,UKB-PPP european EGLN1,EGLN1 Q9GZT9 OID20572 v1 Inflammation
protein,UKB-PPP-european-TSNAX:Q99598:OID30185:v1,ukb-wes-az-00014019,UKB-PPP european TSNAX,TSNAX Q99598 OID30185 v1 CardiometabolicII
protein,UKB-PPP-european-TOMM20:Q15388:OID30353:v1,ukb-wes-az-00013969,UKB-PPP european TOMM20,TOMM20 Q15388 OID30353 v1 CardiometabolicII
protein,UKB-PPP-european-ARID4B:Q4LE39:OID20803:v1,ukb-wes-az-00012899,UKB-PPP european ARID4B,ARID4B Q4LE39 OID20803 v1 Neurology
protein,UKB-PPP-european-NID1:P14543:OID20362:v1,ukb-wes-az-00012981,UKB-PPP european NID1,NID1 P14543 OID20362 v1 Cardiometabolic
protein,UKB-PPP-european-LGALS8:O00214:OID21041:v1,ukb-wes-az-00012664,UKB-PPP european LGALS8,LGALS8 O00214 OID21041 v1 Neurology
protein,UKB-PPP-european-ACTN2:P35609:OID30192:v1,ukb-wes-az-00013803,UKB-PPP european ACTN2,ACTN2 P35609 OID30192 v1 CardiometabolicII
protein,UKB-PPP-european-MTR:Q99707:OID30110:v1,ukb-wes-az-00012883,UKB-PPP european MTR,MTR Q99707 OID30110 v1 CardiometabolicII
protein,UKB-PPP-european-ZP4:Q12836:OID31185:v1,ukb-wes-az-00014164,UKB-PPP european ZP4,ZP4 Q12836 OID31185 v1 OncologyII
