study_name,trait_name,category
ukb-b-15649,"Treatment/medication code: aspirin 75mg tablet",operation / treatment
ukb-b-15654,"Operative procedures - main OPCS: M65.3 Endoscopic resection of prostate NEC",operation / treatment
ukb-b-15661,"Operative procedures - secondary OPCS: Y71.3 Revisional operations NOC",operation / treatment
ukb-b-15666,"Treatment/medication code: amitriptyline",operation / treatment
ukb-b-1567,"Operative procedures - secondary OPCS: Z94.3 Left sided operation",operation / treatment
ukb-b-15685,"Type of cancer: ICD10: C44.5 Skin of trunk",health trait / disease outcome
ukb-b-15686,"Diagnoses - secondary ICD10: I20.9 Angina pectoris, unspecified",health trait / disease outcome
ukb-b-15695,"Ever had prostate specific antigen (PSA) test",clinical measures
ukb-b-15718,"Operative procedures - main OPCS: S57.1 Debridement of skin NEC",operation / treatment
ukb-b-1572,"Difficulty not smoking for 1 day",social / behavioural
ukb-b-15730,"Heel bone mineral density (BMD) T-score, automated (left)",clinical measures
ukb-b-15746,"Treatment/medication code: enalapril",operation / treatment
ukb-b-15748,"Diagnoses - secondary ICD10: Z95.5 Presence of coronary angioplasty implant and graft",health trait / disease outcome
ukb-b-15749,"Non-cancer illness code, self-reported: transient ischaemic attack (tia)",health trait / disease outcome
ukb-b-15761,"Treatment/medication code: bricanyl 250mcg inhaler",operation / treatment
ukb-b-15766,"Operation code: sterilisation",operation / treatment
ukb-b-15768,"Type of special diet followed: Low calorie",social / behavioural
ukb-b-15769,"Operative procedures - secondary OPCS: X29.8 Other specified continuous Infusion of therapeutic substance",operation / treatment
ukb-b-15775,"Type of cancer: ICD10: C18.7 Sigmoid colon",health trait / disease outcome
ukb-b-15782,"logMAR, final (right)",clinical measures
ukb-b-15790,"Diagnoses - secondary ICD10: D64.9 Anaemia, unspecified",health trait / disease outcome
ukb-b-15797,"Operative procedures - main OPCS: K63.4 Coronary arteriography using two catheters",operation / treatment
ukb-b-15826,"Illnesses of siblings: Lung cancer",health trait / disease outcome
ukb-b-15829,"Non-cancer illness code, self-reported: heart attack/myocardial infarction",health trait / disease outcome
ukb-b-15836,"Diagnoses - main ICD10: R87.6 Abnormal cytological findings",health trait / disease outcome
ukb-b-1585,"Diagnoses - secondary ICD10: Z86.4 Personal history of psychoactive substance abuse",health trait / disease outcome
ukb-b-15851,"Heel Broadband ultrasound attenuation, direct entry",clinical measures
ukb-b-15860,"Operative procedures - main OPCS: H22.9 Unspecified diagnostic endoscopic examination of colon",operation / treatment
ukb-b-15869,"Types of physical activity in last 4 weeks: None of the above",social / behavioural
ukb-b-15892,"Pulse rate",clinical measures
ukb-b-15895,"Treatment/medication code: allopurinol",operation / treatment
ukb-b-15904,"Non-cancer illness code, self-reported: prolapsed disc/slipped disc",health trait / disease outcome
ukb-b-15914,"Operation code: termination of pregnancy/top",operation / treatment
ukb-b-15924,"3mm index of best keratometry results (left)",clinical measures
ukb-b-15932,"Operative procedures - main OPCS: T52.1 Palmar fasciectomy",operation / treatment
ukb-b-15942,"Operative procedures - main OPCS: W87.9 Unspecified diagnostic endoscopic examination of knee joint",operation / treatment
ukb-b-15957,"Types of transport used (excluding work): Public transport",social / behavioural
ukb-b-15983,"Diagnoses - secondary ICD10: Z51.5 Palliative care",health trait / disease outcome
ukb-b-1600,"Diagnoses - secondary ICD10: G40.9 Epilepsy, unspecified",health trait / disease outcome
ukb-b-16024,"Diagnoses - secondary ICD10: Z51.0 Radiotherapy session",operation / treatment
ukb-b-16026,"Duration to complete numeric path (trail #1)",physiological
ukb-b-16027,"Illnesses of mother: None of the above (group 2)",health trait / disease outcome
ukb-b-16030,"Operative procedures - main OPCS: B28.3 Excision of lesion of breast NEC",operation / treatment
ukb-b-16039,"Operative procedures - main OPCS: W90.3 Injection of therapeutic substance into joint",operation / treatment
ukb-b-16048,"Non-cancer illness code, self-reported: pulmonary embolism +/- dvt",health trait / disease outcome
ukb-b-16056,"Diagnoses - secondary ICD10: F10.1 Harmful use",health trait / disease outcome
ukb-b-16062,"Operative procedures - secondary OPCS: Y82.2 Injection of local anaesthetic NEC",operation / treatment
ukb-b-16099,"Leg fat-free mass (left)",anthropometric
ukb-b-16103,"Operative procedures - main OPCS: J43.9 Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct",operation / treatment
ukb-b-16112,"6mm index of best keratometry results (left)",clinical measures
ukb-b-16117,"Treatment/medication code: cerazette 75micrograms tablet",operation / treatment
ukb-b-16118,"Neck/shoulder pain for 3+ months",health trait / disease outcome
ukb-b-16128,"Treatment/medication code: meloxicam",operation / treatment
ukb-b-16146,"Treatment/medication code: nifedipine",operation / treatment
ukb-b-16156,"Fasting time",physiological
ukb-b-16187,"Diagnoses - main ICD10: R55 Syncope and collapse",health trait / disease outcome
ukb-b-16193,"Operative procedures - main OPCS: T67.6 Primary simple repair of tendon",operation / treatment
ukb-b-16207,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis",health trait / disease outcome
ukb-b-16209,"Diagnoses - secondary ICD10: K20 Oesophagitis",health trait / disease outcome
ukb-b-16217,"Operation code: nasal/sinus/nose surgery",operation / treatment
ukb-b-16235,"Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia')",health trait / disease outcome
ukb-b-16240,"Operative procedures - main OPCS: W40.1 Primary total prosthetic replacement of knee joint using cement",operation / treatment
ukb-b-16254,"Pain type(s) experienced in last month: Knee pain",health trait / disease outcome
ukb-b-16269,"Operative procedures - main OPCS: Q35.2 Endoscopic bilateral clipping of fallopian tubes",operation / treatment
ukb-b-16287,"Mean time to correctly identify matches",physiological
ukb-b-16288,"Treatment/medication code: vitamin e product",operation / treatment
ukb-b-16292,"Diagnoses - secondary ICD10: I51.7 Cardiomegaly",health trait / disease outcome
ukb-b-16309,"Non-cancer illness code, self-reported: epilepsy",health trait / disease outcome
ukb-b-16311,"Interval between previous point and current one in alphanumeric path (trail #2)",physiological
ukb-b-16313,"Diagnoses - main ICD10: N23 Unspecified renal colic",health trait / disease outcome
ukb-b-16315,"Treatment/medication code: premarin 625micrograms tablet",operation / treatment
ukb-b-16319,"Diagnoses - secondary ICD10: E86 Volume depletion",health trait / disease outcome
ukb-b-16334,"Illnesses of siblings: Stroke",health trait / disease outcome
ukb-b-16340,"Operation code: hip replacement/revision",operation / treatment
ukb-b-16345,"Cancer year/age first occurred",health trait / disease outcome
ukb-b-16364,"Diagnoses - secondary ICD10: Z87.1 Personal history of diseases of the digestive system",health trait / disease outcome
ukb-b-16407,"Trunk fat percentage",anthropometric
ukb-b-16426,"Non-cancer illness code, self-reported: breast cysts",health trait / disease outcome
ukb-b-16440,"Operation code: testicular hydrocoele surgery / drainage",operation / treatment
ukb-b-1645,"Operative procedures - main OPCS: C75.1 Insertion of prosthetic replacement for lens NEC",operation / treatment
ukb-b-16451,"Illnesses of mother: Diabetes",health trait / disease outcome
ukb-b-16454,"Operative procedures - secondary OPCS: G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract",operation / treatment
ukb-b-16471,"Diagnoses - secondary ICD10: Z85.0 Personal history of malignant neoplasm of digestive organs",health trait / disease outcome
ukb-b-16489,"Qualifications: College or University degree",social / behavioural
ukb-b-16499,"Non-cancer illness code, self-reported: hayfever/allergic rhinitis",health trait / disease outcome
ukb-b-16508,"Treatment/medication code: alendronate sodium",operation / treatment
ukb-b-16522,"Illnesses of siblings: Prostate cancer",health trait / disease outcome
ukb-b-16559,"Operative procedures - secondary OPCS: Y84.1 Gas and air analgesia in labour",operation / treatment
ukb-b-16573,"Operative procedures - main OPCS: U21.2 Computed tomography NEC",operation / treatment
ukb-b-16587,"Diagnoses - secondary ICD10: R03.0 Elevated blood-pressure reading, without diagnosis of hypertension",health trait / disease outcome
ukb-b-16606,"Diagnoses - secondary ICD10: I25.8 Other forms of chronic ischaemic heart disease",health trait / disease outcome
ukb-b-16609,"Target heart rate achieved",clinical measures
ukb-b-16641,"Diagnoses - secondary ICD10: Z90.1 Acquired absence of breast(s)",health trait / disease outcome
ukb-b-16652,"Non-cancer illness code, self-reported: pleurisy",health trait / disease outcome
ukb-b-1666,"Home location at assessment - east co-ordinate (rounded)",social / behavioural
ukb-b-16662,"Diagnoses - secondary ICD10: I25.2 Old myocardial infarction",health trait / disease outcome
ukb-b-16665,"Operative procedures - main OPCS: Q10.3 Dilation of cervix uteri and curettage of uterus NEC",operation / treatment
ukb-b-16671,"Attendance/disability/mobility allowance: Attendance allowance",social / behavioural
ukb-b-16677,"6mm cylindrical power (right)",clinical measures
ukb-b-1668,"Diagnoses - main ICD10: I25.1 Atherosclerotic heart disease",health trait / disease outcome
ukb-b-16698,"Arm predicted mass (right)",anthropometric
ukb-b-16702,"Diagnoses - secondary ICD10: Z91.0 Personal history of allergy, other than to drugs and biological substances",health trait / disease outcome
ukb-b-16713,"Diagnoses - secondary ICD10: C78.7 Secondary malignant neoplasm of liver",health trait / disease outcome
ukb-b-16715,"Operative procedures - secondary OPCS: Z84.1 Sacroiliac joint",operation / treatment
ukb-b-1675,"Treatment/medication code: betahistine",operation / treatment
ukb-b-16751,"Diagnoses - secondary ICD10: J44.9 Chronic obstructive pulmonary disease, unspecified",health trait / disease outcome
ukb-b-16781,"Diagnoses - main ICD10: G47.3 Sleep apnoea",health trait / disease outcome
ukb-b-16812,"Vitamin and mineral supplements: Multivitamins +/- minerals",operation / treatment
ukb-b-16818,"Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux",health trait / disease outcome
ukb-b-16855,"Cancer diagnosed by doctor",health trait / disease outcome
ukb-b-16858,"Cough on most days",health trait / disease outcome
ukb-b-16866,"Treatment/medication code: ibuprofen",operation / treatment
ukb-b-16868,"Non-cancer illness code, self-reported: migraine",health trait / disease outcome
ukb-b-16872,"Round of numeric memory test",physiological
ukb-b-16878,"Alcohol usually taken with meals",social / behavioural
ukb-b-16879,"Diagnoses - secondary ICD10: N95.0 Postmenopausal bleeding",health trait / disease outcome
ukb-b-16881,"Sitting height",anthropometric
ukb-b-16882,"Diagnoses - main ICD10: I84.6 Residual haemorrhoidal skin tags",health trait / disease outcome
ukb-b-16886,"Types of transport used (excluding work): Car/motor vehicle",social / behavioural
ukb-b-16890,"Cancer code, self-reported: breast cancer",health trait / disease outcome
ukb-b-16892,"Treatment/medication code: evening primrose oil",operation / treatment
ukb-b-16904,"Operation code: anterior/posterior repair bladder/uterus",operation / treatment
ukb-b-16917,"Diagnoses - main ICD10: S09.9 Unspecified injury of head",health trait / disease outcome
ukb-b-16927,"Age of primiparous women at birth of child",physiological
ukb-b-16943,"Illnesses of siblings: Parkinson's disease",health trait / disease outcome
ukb-b-16946,"Diagnoses - secondary ICD10: R35 Polyuria",health trait / disease outcome
ukb-b-16956,"Treatment/medication code: thyroxine sodium",operation / treatment
ukb-b-16958,"Delivery methods: Spontaneous vertex",physiological
ukb-b-16967,"Diagnoses - secondary ICD10: Z95.0 Presence of cardiac pacemaker",health trait / disease outcome
ukb-b-16989,"External causes: Y83.8 Other surgical procedures",operation / treatment
ukb-b-16993,"Operation code: unclassifiable",operation / treatment
ukb-b-16998,"Duration of walks",social / behavioural
ukb-b-17001,"Ever had bowel cancer screening",clinical measures
ukb-b-17006,"Non-cancer illness code, self-reported: head injury",health trait / disease outcome
ukb-b-17010,"Treatment/medication code: omega-3/fish oil supplement",operation / treatment
ukb-b-1702,"Diagnoses - secondary ICD10: C77.3 Axillary and upper limb lymph nodes",health trait / disease outcome
ukb-b-17032,"Treatment/medication code: diazepam",operation / treatment
ukb-b-17049,"Non-cancer illness code, self-reported: tonsiltis",health trait / disease outcome
ukb-b-1707,"Average weekly spirits intake",social / behavioural
ukb-b-17078,"Treatment/medication code: movicol oral powder",operation / treatment
ukb-b-17085,"Operative procedures - secondary OPCS: Z48.1 Skin of scalp",operation / treatment
ukb-b-17102,"External causes: Y83.6 Removal of other organ (partial) (total)",operation / treatment
ukb-b-17107,"Pain type(s) experienced in last month: Facial pain",health trait / disease outcome
ukb-b-17130,"Operative procedures - main OPCS: X29.2 Continuous intravenous infusion of therapeutic substance NEC",operation / treatment
ukb-b-17133,"Operative procedures - secondary OPCS: Z84.3 Hip joint",operation / treatment
ukb-b-17174,"Type of cancer: ICD10: C44.4 Skin of scalp and neck",health trait / disease outcome
ukb-b-17191,"Operative procedures - secondary OPCS: Y53.1 Approach to organ under radiological control",operation / treatment
ukb-b-17194,"Eye problems/disorders: Macular degeneration",health trait / disease outcome
ukb-b-17219,"Diagnoses - secondary ICD10: J45.9 Asthma, unspecified",health trait / disease outcome
ukb-b-17241,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema",health trait / disease outcome
ukb-b-17243,"Non-cancer illness code, self-reported: anxiety/panic attacks",health trait / disease outcome
ukb-b-17271,"Leg predicted mass (left)",anthropometric
ukb-b-1822,"Operation code: endometrial ablation",operation / treatment
ukb-b-18235,"Non-cancer illness code, self-reported: muscle/soft tissue problem",health trait / disease outcome
ukb-b-18240,"Diastolic blood pressure, manual reading",clinical measures
ukb-b-18275,"Hearing difficulty/problems with background noise",health trait / disease outcome
ukb-b-18279,"Diagnoses - main ICD10: M51.1 Lumbar and other intervertebral disk disorders with radiculopathy",health trait / disease outcome
ukb-b-18290,"Age hayfever or allergic rhinitis diagnosed by doctor",health trait / disease outcome
ukb-b-18297,"Operative procedures - main OPCS: J13.2 Percutaneous biopsy of lesion of liver NEC",operation / treatment
ukb-b-18335,"Wheeze or whistling in the chest in last year",health trait / disease outcome
ukb-b-18336,"Seen a psychiatrist for nerves, anxiety, tension or depression",health trait / disease outcome
ukb-b-18349,"Non-cancer illness code, self-reported: benign breast lump",health trait / disease outcome
ukb-b-18350,"Operative procedures - main OPCS: T43.9 Unspecified diagnostic endoscopic examination of peritoneum",operation / treatment
ukb-b-18366,"Diagnoses - main ICD10: I26.9 Pulmonary embolism without mention of acute cor pulmonale",health trait / disease outcome
ukb-b-18372,"Diagnoses - main ICD10: N20.0 Calculus of kidney",health trait / disease outcome
ukb-b-18377,"Leg fat percentage (left)",anthropometric
ukb-b-18379,"Diagnoses - main ICD10: M17.9 Gonarthrosis, unspecified",health trait / disease outcome
ukb-b-18389,"Fractured heel",health trait / disease outcome
ukb-b-18395,"Treatment/medication code: iron product",operation / treatment
ukb-b-18408,"Illnesses of father: Heart disease",health trait / disease outcome
ukb-b-18425,"Diagnoses - secondary ICD10: R07.4 Chest pain, unspecified",health trait / disease outcome
ukb-b-18436,"Age asthma diagnosed by doctor",health trait / disease outcome
ukb-b-18469,"Particulate matter air pollution (pm10); 2010",social / behavioural
ukb-b-18477,"Operation code: bladder surgery",operation / treatment
ukb-b-18509,"3mm cylindrical power angle (left)",clinical measures
ukb-b-1853,"Diagnoses - main ICD10: K92.0 Haematemesis",health trait / disease outcome
ukb-b-18532,"Operative procedures - main OPCS: M45.8 Other specified diagnostic endoscopic examination of bladder",operation / treatment
ukb-b-18541,"Ever used hormone-replacement therapy (HRT)",operation / treatment
ukb-b-18544,"Operative procedures - secondary OPCS: Y53.3 Approach to organ under computed tomography scan control",operation / treatment
ukb-b-18572,"Operative procedures - secondary OPCS: Y80.8 Other specified general anaesthetic",operation / treatment
ukb-b-18578,"Non-cancer illness code, self-reported: heart valve problem/heart murmur",health trait / disease outcome
ukb-b-18596,"Pain type(s) experienced in last month: Neck or shoulder pain",health trait / disease outcome
ukb-b-18616,"Operative procedures - secondary OPCS: Z40.1 Pulmonary artery",operation / treatment
ukb-b-18629,"Diagnoses - main ICD10: N20.1 Calculus of ureter",health trait / disease outcome
ukb-b-1865,"Operative procedures - secondary OPCS: Z92.6 Abdomen NEC",operation / treatment
ukb-b-1867,"Attendance/disability/mobility allowance: Blue badge",social / behavioural
ukb-b-18674,"Ever unenthusiastic/disinterested for a whole week",social / behavioural
ukb-b-18683,"Maximum digits remembered correctly",physiological
ukb-b-18697,"Signal-to-noise-ratio (SNR) of triplet (right)",clinical measures
ukb-b-18700,"Non-cancer illness code, self-reported: cholelithiasis/gall stones",health trait / disease outcome
ukb-b-18712,"Illness, injury, bereavement, stress in last 2 years: Death of a close relative",social / behavioural
ukb-b-18761,"Treatment/medication code: sumatriptan",operation / treatment
ukb-b-18765,"Why stopped smoking: None of the above",social / behavioural
ukb-b-18785,"Diagnoses - main ICD10: K13.7 Other and unspecified lesions of oral mucosa",health trait / disease outcome
ukb-b-18786,"Operative procedures - main OPCS: P23.2 Anterior colporrhaphy NEC",operation / treatment
ukb-b-18787,"Non-cancer illness code, self-reported: allergy or anaphylactic reaction to food",health trait / disease outcome
ukb-b-18798,"Type of cancer: ICD10: C34.1 Upper lobe, bronchus or lung",health trait / disease outcome
ukb-b-18799,"Treatment/medication code: bendroflumethiazide",operation / treatment
ukb-b-188,"Private healthcare",social / behavioural
ukb-b-18802,"Operative procedures - secondary OPCS: K63.3 Angiocardiography of left side of heart NEC",operation / treatment
ukb-b-18819,"Treatment/medication code: vitamin b12 preparation",operation / treatment
ukb-b-18822,"Diagnoses - main ICD10: K29.7 Gastritis, unspecified",health trait / disease outcome
ukb-b-18843,"Diagnoses - secondary ICD10: C61 Malignant neoplasm of prostate",health trait / disease outcome
ukb-b-18865,"Operative procedures - secondary OPCS: M47.9 Unspecified urethral catheterisation of bladder",operation / treatment
ukb-b-1888,"Operation code: abdominal/pelvic adhesion surgery",operation / treatment
ukb-b-18897,"Diagnoses - main ICD10: Z42.1 Follow-up care involving plastic surgery of breast",health trait / disease outcome
ukb-b-18948,"Operative procedures - main OPCS: K75.3 Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery",operation / treatment
ukb-b-18953,"Operative procedures - secondary OPCS: T86.2 Sampling of axillary lymph nodes",operation / treatment
ukb-b-18959,"Traffic intensity on the nearest road",social / behavioural
ukb-b-18994,"Miserableness",social / behavioural
ukb-b-19041,"Type of cancer: ICD10: C50.9 Breast, unspecified",health trait / disease outcome
ukb-b-19045,"Diagnoses - main ICD10: J34.8 Other specified disorders of nose and nasal sinuses",health trait / disease outcome
ukb-b-19054,"Operative procedures - secondary OPCS: Z67.5 Lumbar intervertebral joint",operation / treatment
ukb-b-19060,"Hearing aid user",health trait / disease outcome
ukb-b-19064,"Operative procedures - secondary OPCS: Y20.3 Biopsy of lesion of organ NOC",operation / treatment
ukb-b-19066,"Reproduciblity of spirometry measurement using ERS/ATS criteria",clinical measures
ukb-b-19071,"Intra-ocular pressure, corneal-compensated (left)",clinical measures
ukb-b-19078,"Type of cancer: ICD10: C44.6 Skin of upper limb, including shoulder",health trait / disease outcome
ukb-b-19086,"Diagnoses - secondary ICD10: R50.9 Fever, unspecified",health trait / disease outcome
ukb-b-19088,"Diagnoses - secondary ICD10: W10.0 Home",health trait / disease outcome
ukb-b-19097,"Stomach/abdominal pain for 3+ months",health trait / disease outcome
ukb-b-19109,"Diagnoses - main ICD10: R00.2 Palpitations",health trait / disease outcome
ukb-b-19110,"Diagnoses - main ICD10: N84.1 Polyp of cervix uteri",health trait / disease outcome
ukb-b-19156,"Treatment/medication code: lansoprazole",operation / treatment
ukb-b-19158,"Mineral and other dietary supplements: Selenium",operation / treatment
ukb-b-19166,"Operative procedures - main OPCS: X29.8 Other specified continuous Infusion of therapeutic substance",operation / treatment
ukb-b-1917,"Operation code: hand/finger surgery",operation / treatment
ukb-b-19191,"Mouth/teeth dental problems: Toothache",health trait / disease outcome
ukb-b-19199,"Operative procedures - secondary OPCS: Y80.2 Inhalation anaesthetic using endotracheal intubation NEC",operation / treatment
ukb-b-19204,"Operative procedures - main OPCS: P23.3 Posterior colporrhaphy NEC",operation / treatment
ukb-b-19206,"Contra-indications for spirometry",clinical measures
ukb-b-19207,"Diagnoses - secondary ICD10: R33 Retention of urine",health trait / disease outcome
ukb-b-19234,"Heel quantitative ultrasound index (QUI), direct entry",clinical measures
ukb-b-19236,"Treatment/medication code: fluticasone",operation / treatment
ukb-b-19253,"Age started smoking in current smokers",social / behavioural
ukb-b-19255,"Fractured bone site(s): Arm",health trait / disease outcome
ukb-b-19262,"Treatment/medication code: zinc product",operation / treatment
ukb-b-19266,"Diagnoses - main ICD10: D12.6 Colon, unspecified",health trait / disease outcome
ukb-b-19277,"Intra-ocular pressure, corneal-compensated (right)",clinical measures
ukb-b-19288,"Operative procedures - secondary OPCS: Q12.1 Introduction of intrauterine contraceptive device",operation / treatment
ukb-b-19294,"Delivery methods: Ventouse, vacuum extraction",physiological
ukb-b-1935,"Operative procedures - main OPCS: W26.2 Manipulation of fracture of bone NEC",operation / treatment
ukb-b-19350,"Diagnoses - main ICD10: I63.9 Cerebral infarction, unspecified",health trait / disease outcome
ukb-b-19354,"Diagnoses - main ICD10: K20 Oesophagitis",health trait / disease outcome
ukb-b-19373,"Duration to first press of snap-button in each round",physiological
ukb-b-19379,"Impedance of arm (left)",clinical measures
ukb-b-19381,"Non-cancer illness code, self-reported: osteopenia",health trait / disease outcome
ukb-b-19386,"Diagnoses - main ICD10: K51.9 Ulcerative colitis, unspecified",health trait / disease outcome
ukb-b-19388,"Diagnoses - main ICD10: K85 Acute pancreatitis",health trait / disease outcome
ukb-b-1939,"Operative procedures - main OPCS: F09.1 Surgical removal of impacted wisdom tooth",operation / treatment
ukb-b-19391,"Diagnoses - secondary ICD10: R06.0 Dyspnoea",health trait / disease outcome
ukb-b-19393,"Whole body fat mass",anthropometric
ukb-b-19409,"Diagnoses - secondary ICD10: R10.4 Other and unspecified abdominal pain",health trait / disease outcome
ukb-b-19419,"Diagnoses - main ICD10: R11 Nausea and vomiting",health trait / disease outcome
ukb-b-19425,"Diagnoses - main ICD10: C20 Malignant neoplasm of rectum",health trait / disease outcome
ukb-b-19438,"Operation code: rectal or colon polypectomy",operation / treatment
ukb-b-19456,"Illnesses of father: High blood pressure",health trait / disease outcome
ukb-b-19462,"Operative procedures - secondary OPCS: Y73.1 Cardiopulmonary bypass",operation / treatment
ukb-b-19473,"Operation code: nasal polyp surgery / nasal polypectomy",operation / treatment
ukb-b-19482,"Operation code: unilateral oophorectomy",operation / treatment
ukb-b-19490,"Average 24-hour sound level of noise pollution",social / behavioural
ukb-b-19520,"Arm fat-free mass (right)",anthropometric
ukb-b-19542,"Diagnoses - main ICD10: Z47.0 Follow-up care involving removal of fracture plate and other internal fixation device",health trait / disease outcome
ukb-b-19546,"Operative procedures - secondary OPCS: W85.2 Endoscopic irrigation of knee joint",operation / treatment
ukb-b-19560,"Skin colour",anthropometric
ukb-b-19579,"Operative procedures - main OPCS: M70.3 Rectal needle biopsy of prostate",operation / treatment
ukb-b-19585,"Duration to entering value",physiological
ukb-b-1962,"Operation code: bilateral oophorectomy",operation / treatment
ukb-b-19651,"Diagnoses - secondary ICD10: F10.2 Dependence syndrome",health trait / disease outcome
ukb-b-19657,"Forced expiratory volume in 1-second (FEV1)",clinical measures
ukb-b-1968,"Diagnoses - main ICD10: K63.5 Polyp of colon",health trait / disease outcome
ukb-b-19698,"Treatment/medication code: clopidogrel",operation / treatment
ukb-b-197,"Operative procedures - secondary OPCS: C90.9 Unspecified local anaesthetics for ophthalmology procedures",operation / treatment
ukb-b-19711,"Operative procedures - main OPCS: E03.6 Septoplasty of nose NEC",operation / treatment
ukb-b-19713,"External causes: W19.9 Unspecified place",health trait / disease outcome
ukb-b-19716,"Menstruating today",physiological
ukb-b-19719,"Non-cancer illness code, self-reported: menorrhagia (unknown cause)",health trait / disease outcome
ukb-b-19722,"Non-accidental death in close genetic family",health trait / disease outcome
ukb-b-19732,"Non-cancer illness code, self-reported: hypothyroidism/myxoedema",health trait / disease outcome
ukb-b-1974,"Treatment/medication code: felodipine",operation / treatment
ukb-b-19752,"Why reduced smoking: None of the above",social / behavioural
ukb-b-19759,"Treatment/medication code: quinine",operation / treatment
ukb-b-19769,"Diagnoses - main ICD10: R06.5 Mouth breathing",health trait / disease outcome
ukb-b-1977,"Diagnoses - main ICD10: R51 Headache",health trait / disease outcome
ukb-b-19805,"Diagnoses - main ICD10: K62.1 Rectal polyp",health trait / disease outcome
ukb-b-19807,"Diagnoses - main ICD10: M51.3 Other specified intervertebral disk degeneration",health trait / disease outcome
ukb-b-19809,"Fed-up feelings",social / behavioural
ukb-b-19813,"Diagnoses - main ICD10: M54.56 Low back pain (Lumbar region)",health trait / disease outcome
ukb-b-19829,"Diagnoses - main ICD10: M16.9 Coxarthrosis, unspecified",health trait / disease outcome
ukb-b-19832,"Treatment/medication code: fluoxetine",operation / treatment
ukb-b-19837,"Operative procedures - main OPCS: T24.3 Repair of umbilical hernia using sutures",operation / treatment
ukb-b-19842,"Why stopped smoking: Health precaution",social / behavioural
ukb-b-19845,"Operative procedures - secondary OPCS: Y82.9 Unspecified local anaesthetic",operation / treatment
ukb-b-19864,"Diagnoses - secondary ICD10: Z86.1 Personal history of infectious and parasitic diseases",health trait / disease outcome
ukb-b-19886,"Diagnoses - secondary ICD10: K21.9 Gastro-oesophageal reflux disease without oesophagitis",health trait / disease outcome
ukb-b-19921,"Impedance of whole body",clinical measures
ukb-b-19925,"Arm fat-free mass (left)",anthropometric
ukb-b-19929,"Operation code: cruciate ligament surgery",operation / treatment
ukb-b-19937,"Operative procedures - main OPCS: R17.2 Elective lower uterine segment caesarean delivery",operation / treatment
ukb-b-19950,"Operative procedures - main OPCS: X99.8 No procedure performed",operation / treatment
ukb-b-19953,"Body mass index (BMI)",anthropometric
ukb-b-19955,"Diagnoses - secondary ICD10: I12.0 Hypertensive renal disease with renal failure",health trait / disease outcome
ukb-b-19957,"Suffer from 'nerves'",social / behavioural
ukb-b-1997,"Number of older siblings",social / behavioural
ukb-b-1998,"Number of unenthusiastic/disinterested episodes",social / behavioural
ukb-b-19994,"Spherical power (right)",clinical measures
ukb-b-20009,"Diagnoses - secondary ICD10: R05 Cough",health trait / disease outcome
ukb-b-20017,"Diagnoses - secondary ICD10: K29.8 Duodenitis",health trait / disease outcome
ukb-b-2003,"Errors before selecting correct item in alphanumeric path (trail #2)",physiological
ukb-b-20032,"Heel bone mineral density (BMD) T-score, automated (right)",clinical measures
ukb-b-20038,"Diagnoses - main ICD10: Z13.8 Special screening examination for other specified diseases and disorders",health trait / disease outcome
ukb-b-20044,"Trunk fat mass",anthropometric
ukb-b-20045,"Diagnoses - secondary ICD10: F32.9 Depressive episode, unspecified",health trait / disease outcome
ukb-b-20078,"Non-cancer illness code, self-reported: gastric/stomach ulcers",health trait / disease outcome
ukb-b-20118,"Operative procedures - main OPCS: M65.1 Endoscopic resection of prostate using electrotome",operation / treatment
ukb-b-20124,"Heel bone mineral density (BMD) T-score, automated",clinical measures
ukb-b-20137,"Operative procedures - secondary OPCS: X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance",operation / treatment
ukb-b-20140,"Duration to complete alphanumeric path (trail #2)",physiological
ukb-b-20141,"Non-cancer illness code, self-reported: eczema/dermatitis",health trait / disease outcome
ukb-b-20142,"Diagnoses - secondary ICD10: Z85.3 Personal history of malignant neoplasm of breast",health trait / disease outcome
ukb-b-20145,"Cancer code, self-reported: colon cancer/sigmoid cancer",health trait / disease outcome
ukb-b-20155,"Operative procedures - secondary OPCS: Z89.5 Thumb NEC",operation / treatment
ukb-b-20162,"Diagnoses - main ICD10: R33 Retention of urine",health trait / disease outcome
ukb-b-20175,"Systolic blood pressure, automated reading",clinical measures
ukb-b-20176,"Illnesses of mother: Lung cancer",health trait / disease outcome
ukb-b-20185,"Operative procedures - secondary OPCS: R27.1 Episiotomy to facilitate delivery",operation / treatment
ukb-b-20187,"Operative procedures - secondary OPCS: Y53.2 Approach to organ under ultrasonic control",operation / treatment
ukb-b-20188,"Arm fat percentage (left)",anthropometric
